title,body,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
,hi since recruiter lead permission approve requisitions makes please make thanks recruiter,1,4,2,21,71,3,4
connection with icon,icon dear please setup icon per icon engineers please let other details needed thanks lead,1,6,22,7,26,3,4
work experience user,work experience user hi work experience student coming next his name much appreciate him duration thank,1,5,13,7,32,3,4
requesting for meeting,requesting meeting hi please help follow equipments cable pc cord plug,1,5,13,7,32,3,4
reset passwords for external accounts,re expire days hi ask help update passwords colleagues thank pm expire days importance high hi received about expiration please kindly help prolongation best regards pm expire days importance high dear expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours,1,4,2,76,4,3,4
mail,verification warning hi has got attached please addresses best regards monitoring analyst verification warning,1,4,3,7,89,3,4
mail,please dear looks blacklisted receiving mails anymore sample attached thanks kind regards senior engineer,1,4,3,87,89,3,4
prod servers tunneling,prod tunneling va la tunneling la host si la si host host cards port name bytes bytes seq bytes seq statistics packets transmitted received packet loss avg bytes bytes seq bytes seq tuesday pm acre re tunneling si pm acre re tunneling extended object host extended host extended object host range extended host range administrator re sector pm acre re tunneling va la si la tunneling design lead ext friday pm re tunneling va extended object host extended host administrator re sector pm tunneling va la tunneling users pinging bytes bytes bytes bytes bytes design lead ext con care pot partial strict si pot ale care va la contains proprietary information which legally privileged unauthorized dissemination prohibited intended recipient views addressing transmission error has misdirected please notify author by replying intended recipient must disclose distribute copy print rely,1,6,22,21,95,3,4
access request,dear modules report report cost thank much regards,1,4,1,7,66,3,4
reset passwords for our client and,passwords client dear please passwords thank,1,5,2,76,4,3,4
direct reports missing time,please action reports dear way help close these maternity leave complete submit her left he technically left he client work after rd submit after delete period days two public holidays possible add thanks please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,1,4,2,7,67,3,4
laptop connected on request rebuild,connected rebuild hi please provide order debug sip trunk gateway wireless wired connected regards,1,5,13,7,32,3,4
device recovery report printer alert duplex unit is not set,device recovery report printer duplex unit printer details detected tray tray copier details detected tray scanner ready details model name device name comment host name printer name print name file name printer name zone name name computer name share name device printer printer notified,1,5,13,60,74,3,4
new starter,hello please fill date,1,4,2,94,40,3,4
visual studio license,visual studio license hello developer visual studio license thank best regards developer,1,5,3,7,32,3,4
system,hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,1,5,13,21,32,3,4
access for secondary,secondary hi please provide secondary ledger users please provide existing roles assigned these users prod test please create thank kind regards analyst,1,4,1,7,66,3,4
list sent copy,copy hi receive copy behavior expect receive myself thanks front developer,1,4,3,88,36,3,4
new purchase po,purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,1,5,13,7,32,3,4
invitation to cloud strategy workshop february manchester,invitation strategy workshop february manchester workshop forward colleague results campaign workshop reminder content workshop reminder ca cs dad ca trouble viewing view results campaign workshop reminder content workshop reminder cs dad ca assets images azure cs dad ca azure join cs dad ca manchester discuss journey unleash benefits powered by azure workshop control optimise strategy tickets cs dad ca february discussing best working opportunities digital give tools how embrace perfect environment wednesday february where sir busby way manchester further information found control optimise strategy tickets cs dad ca please note places join workshop manchester february control optimise strategy tickets cs dad ca make february workshop interest march where street campus birmingham join workshop birmingham control optimise strategy tickets cs dad ca assets images footer cs dad ca action campaign workshop reminder content workshop reminder ca cs dad ca road bb sr,1,4,2,7,89,3,4
change sales owner for contract,change owner contract hello please log thanks best regards senior engineer pm contract id pm pm la ca la si si please pm pm merci pm owner pm yep pm,1,4,2,21,10,3,4
notification wireless devices upgrade cr medium,wireless devices upgrade cr medium hi please announce users about window wireless best regards senior engineer cr medium has by hello summary software upgrade release has approved by please wait until completed starting kind regards ref msg,1,6,22,60,52,3,4
direct reports list to be amended oracle,reports amended hello please call best regards reports amended hi guys please help match correctly too reports find please attached please move he right attached these move thank,1,4,2,21,67,3,4
adding new printer xerox on th floor,printer floor hi tried add printer floor show printers add manually help required steps thanks director central,1,5,1,7,74,3,4
badge access to be removed,badge removed dear please badge since he working anymore best regards,1,7,1,87,73,3,4
system,re hello please make injector device device pm hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,1,5,13,86,32,3,4
new purchase po,purchase po dear purchased has please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
check user accessibility,user accessibility hello please log assign best regards senior engineer pm pm pm please pm pm super,1,4,2,21,10,3,4
annual leave,re annual leave hello please help absence record today hello please thanks great best regards analyst pm annual leave hi please help registering off annual leave today take due urgent personal matters allow ongoing absence records please advise,1,4,2,7,67,3,4
change project manager role oracle,change role hello dear please change pm role starting kind regards discipline lead,1,4,2,21,66,3,4
does laptop have,hello tomorrow trip senior developer mobile,1,5,13,88,32,3,4
port opening,port opening hello port machine packages provided subcontractors also also please add tunneling azure machines thanks design lead ext,1,6,22,21,26,3,4
network access,hello received workstation granted ad please help thanks,1,4,1,7,26,3,4
new purchase po,purchase po dear purchased please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
access card,re card va se,1,7,1,21,73,3,4
undelivered mail returned to sender,undelivered returned hi getting these undelivered messages instead actual complete messages issue side client regards pm undelivered returned host sorry inform more attached further assistance please please include problem report delete own text attached returned host cluster said sorry has blacklisted refer troubleshooting more information rcpt command,1,4,3,88,36,3,4
mailbox almost full,mailbox almost hi mailbox almost kind thanks regards senior infrastructure engineer infrastructure upcoming holiday none id,1,4,2,7,36,3,4
new purchase po,purchase po dear purchased has please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
opportunity into pas known pipeline,opportunity known pipeline hi please import bellow opportunity known pipeline opportunity id thanks officer,1,4,3,7,70,3,4
shared folder on and access,shared folder dear please assist creating shared folder well granting him folder thanks kind regards engineer,1,4,1,7,38,3,4
